Patent ID;Al2O3;BaO;Bi2O3;CaO;CeO2;Fe2O3;K2O;La2O3;Li2O;MgO;Na2O;Nb2O5;P2O5;SiO2;SrO;Ta2O5;TiO2;WO3;Y2O3;ZnO;ZrO2
US20240025797A1;0.03;16.51;0;0;0;0;3.65;0;0;0;5.97;15.2;0;48.24;0.34;0.01;8.06;0;0;0;1.99
US20240025797A1;0.03;15.19;0;0;0;0;3.52;0;0;0;5.97;14.15;0;49.58;0.31;0;9.24;0;0;0;2
US20240025797A1;0.03;15.71;0;0;0;0;4.8;0;0;0;6.89;17.14;0;48.16;0.3;0.01;4.97;0;0;0;1.99
US20240025797A1;0.03;14.38;0;0;0;0;4.63;0;0;0;6.86;15.99;0;49.52;0.3;0.01;6.28;0;0;0;2
US20240025797A1;0.02;13.13;0;0;0;0;4.48;0;0;0;6.84;14.92;0;50.83;0.27;0;7.53;0;0;0;1.99
US20240025797A1;0.02;11.96;0;0;0;0;4.32;0;0;0;6.82;13.91;0;52.04;0.25;0;8.69;0;0;0;1.99
US20240025797A1;0.03;15.2;0;0;0;0;4.39;0;0;0;6.64;15.98;0;48.93;0.31;0.01;6.53;0;0;0;1.99
US20240025797A1;0.03;13.91;0;0;0;0;4.24;0;0;0;6.62;14.9;0;50.23;0.29;0;7.78;0;0;0;1.99
US20240025797A1;0.02;12.71;0;0;0;0;4.1;0;0;0;6.6;13.88;0;51.48;0.26;0;8.94;0;0;0;2
US20240025797A1;0.03;14.71;0;0;0;0;4;0;0;0;6.38;14.88;0;49.66;0.3;0;8.03;0;0;0;2
US20240025797A1;0.03;13.48;0;0;0;0;3.86;0;0;0;6.37;13.86;0;50.93;0.28;0;9.19;0;0;0;1.99
US20240025797A1;0.03;14.25;0;0;0;0;3.63;0;0;0;6.13;13.83;0;50.38;0.3;0;9.45;0;0;0;2
US20240025797A1;0.02;11.09;0;0;0;0;4.1;0;0;0;6.73;12.95;0;53.02;0.23;0;9.88;0;0;0;1.99
US20240025797A1;0.02;12.2;0;0;0;0;3.92;0;0;0;6.51;13.23;0;52.1;0.25;0;9.77;0;0;0;2
US20240025797A1;0.02;10.73;0;0;0;0;3.75;0;0;0;6.49;12.01;0;53.61;0.22;0;11.17;0;0;0;1.99
US20240025797A1;0.02;12.95;0;0;0;0;3.7;0;0;0;6.28;13.2;0;51.56;0.27;0;10.02;0;0;0;1.99
US20240025797A1;0.02;11.82;0;0;0;0;3.57;0;0;0;6.27;12.28;0;52.72;0.24;0;11.08;0;0;0;2
US20240025797A1;0.02;10.4;0;0;0;0;3.41;0;0;0;6.26;11.11;0;54.18;0.22;0;12.4;0;0;0;1.99
US20240025797A1;0.03;13.56;0;0;0;0;3.35;0;0;0;5.99;12.84;0;51.23;0.28;0;10.72;0;0;0;1.99
US20240025797A1;0.02;12.41;0;0;0;0;3.23;0;0;0;5.99;11.93;0;52.41;0.25;0;11.75;0;0;0;1.99
US20240025797A1;0.02;11.33;0;0;0;0;3.13;0;0;0;5.99;11.06;0;53.49;0.24;0;12.74;0;0;0;2
US20240025797A1;0.02;9.98;0;0;0;0;2.99;0;0;0;5.99;9.98;0;54.88;0.21;0;13.97;0;0;0;1.99
US20240025797A1;0.03;14.94;0;0;0.02;0;0;3.88;0;0;11.96;5.98;0;44.83;0.31;0;4.98;0;11.06;0;2
US20240025797A1;0.03;14.94;0;0;0.01;0;0;2.06;0;0;11.95;7.27;0;44.84;0.31;0;6.28;0;9.66;0;2.64
US20240025797A1;0.04;14.94;0;0;0.03;0;0;5.65;0;0;11.96;5.98;0;44.82;0.31;0;4.98;0;9.28;0;2
US20240025797A1;0.03;14.94;0;0;0.02;0;0;3.67;0;0;11.96;7.29;0;44.84;0.31;0;6.29;0;7.99;0;2.65
US20240025797A1;0.03;14.93;0;0.02;0.04;0;0;7.06;0;0;11.95;7.34;0;44.82;0.31;0;6.34;0;4.46;0;2.68
US20240025797A1;0.02;14.93;0;0.02;0.07;0;0;12.1;0;0;11.94;5.98;0;44.81;0.3;0;4.98;0;2.84;0;1.99
US20240025797A1;0.02;14.94;0;0.02;0.06;0;0;8.86;0;0;11.95;7.37;0;44.81;0.31;0;6.38;0;2.6;0;2.69
US20240025797A1;0.03;14.93;0;0.02;0.04;0;0;6.77;0;0;11.96;8.27;0;44.82;0.3;0;7.27;0;2.44;0;3.14
US20240025797A1;0.03;14.93;0;0.02;0.09;0;0;14.93;0;0;11.94;5.98;0;44.79;0.31;0;4.98;0;0;0;2
US20240025797A1;0.04;14.93;0;0.02;0.06;0;0;9.07;0;0;11.96;8.32;0;44.81;0.31;0;7.32;0;0;0;3.16
US20240025797A1;0.03;14.94;0;0.02;0.04;0;0;7.04;0;0;11.96;9.14;0;44.81;0.31;0;8.13;0;0;0;3.57
US20240025797A1;0.03;14.93;0;0.02;0.03;0;0;6.08;0;0;11.95;6.67;0;44.82;0.31;0;5.68;0;7.13;0;2.34
